Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Shelf,Potassium,Vitamins,Weight,Cups,CARB CAT
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,1,70,25,1,0.75,A
Cinnamon Toast Crunch,G,C,120,1,3,210,0,13,9,2,45,25,1,0.75,A
Clusters,G,C,110,3,2,140,2,13,7,3,105,25,1,0.5,A
Cocoa Puffs,G,C,110,1,1,180,0,12,13,2,55,25,1,1,A
Count Chocula,G,C,110,1,1,180,0,12,13,2,65,25,1,1,A
Crispy Wheat & Raisins,G,C,100,2,1,140,2,11,10,3,120,25,1,0.75,A
Golden Grahams,G,C,110,1,1,280,0,15,9,2,45,25,1,0.75,A
Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10,1,90,25,1,0.75,A
Lucky Charms,G,C,110,2,1,180,0,12,12,2,55,25,1,1,A
Multi-Grain Cheerios,G,C,100,2,1,220,2,15,6,1,90,25,1,1,A
Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10,3,120,25,1.25,0.5,A
Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,3,140,25,1,0.5,A
Total Raisin Bran,G,C,140,3,1,190,4,15,14,3,230,100,1.5,1,A
Trix,G,C,110,1,1,140,0,13,12,2,25,25,1,1,A
All-Bran,K,C,70,4,1,260,9,7,5,3,320,25,1,0.33,A
All-Bran with Extra Fiber,K,C,50,4,0,140,14,8,0,3,330,25,1,0.5,A
Apple Jacks,K,C,110,2,0,125,1,11,14,2,30,25,1,1,A
Corn Pops,K,C,110,1,0,90,1,13,12,2,20,25,1,1,A
Cracklin' Oat Bran,K,C,110,3,3,140,4,10,7,3,160,25,1,0.5,A
Froot Loops,K,C,110,2,1,125,1,11,13,2,30,25,1,1,A
Frosted Flakes,K,C,110,1,0,200,1,14,11,1,25,25,1,0.75,A
Frosted Mini-Wheats,K,C,100,3,0,0,3,14,7,2,100,25,1,0.8,A
Fruitful Bran,K,C,120,3,0,240,5,14,12,3,190,25,1.33,0.67,A
Nut&Honey Crunch,K,C,120,2,1,190,0,15,9,2,40,25,1,0.67,A
Raisin Bran,K,C,120,3,1,210,5,14,12,2,240,25,1.33,0.75,A
Raisin Squares,K,C,90,2,0,0,2,15,6,3,110,25,1,0.5,A
Smacks,K,C,110,2,1,70,1,9,15,2,40,25,1,0.75,A
100% Bran,N,C,70,4,1,130,10,5,6,3,280,25,1,0.33,A
Strawberry Fruit Wheats,N,C,90,2,0,15,3,15,5,2,90,25,1,-1,A
Bran Flakes,P,C,90,3,0,210,5,13,5,3,190,25,1,0.67,A
"Fruit & Fibre Dates, Walnuts, and Oats",P,C,120,3,2,160,5,12,10,3,200,25,1.25,0.67,A
Fruity Pebbles,P,C,110,1,1,135,0,13,12,2,25,25,1,0.75,A
Golden Crisp,P,C,100,2,0,45,0,11,15,1,40,25,1,0.88,A
Grape Nuts Flakes,P,C,100,3,1,140,3,15,5,3,85,25,1,0.88,A
Great Grains Pecan,P,C,120,3,3,75,3,13,4,3,100,25,1,0.33,A
Honey-comb,P,C,110,1,0,180,0,14,11,1,35,25,1,1.33,A
Post Nat. Raisin Bran,P,C,120,3,1,200,6,11,14,3,260,25,1.33,0.67,A
100% Natural Bran,Q,C,120,3,5,15,2,8,8,3,135,0,1,-1,A
Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,2,35,25,1,0.75,A
Honey Graham Ohs,Q,C,120,1,2,220,1,12,11,2,45,25,1,1,A
Life,Q,C,100,4,2,150,2,12,6,2,95,25,1,0.67,A
Puffed Rice,Q,C,50,1,0,0,0,13,0,3,15,0,0.5,1,A
Puffed Wheat,Q,C,50,2,0,0,1,10,0,3,50,0,0.5,-1,A
Quaker Oat Squares,Q,C,100,4,1,135,2,14,6,3,110,25,1,0.5,A
Almond Delight,R,C,110,2,2,200,1,14,8,3,-1,25,1,0.75,A
Bran Chex,R,C,90,2,1,200,4,15,6,1,125,25,1,0.67,A
